country,continent,total,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,16852282.492629003,1952,28.801,8425333,779.4453145
Afghanistan,Asia,18483570.3700592,1957,30.331999999999997,9240934,820.8530296
Afghanistan,Asia,20535936.19542,1962,31.997,10267083,853.1007099999999
Afghanistan,Asia,23077672.4342764,1967,34.02,11537966,836.1971382
Afghanistan,Asia,26160472.1382116,1972,36.088,13079460,739.9811057999999
Afghanistan,Asia,29762393.10272,1977,38.438,14880372,786.11336
Afghanistan,Asia,25765667.7308776,1982,39.854,12881816,978.0114388000001
Afghanistan,Asia,27737700.4358896,1987,40.821999999999996,13867957,852.3959447999999
Afghanistan,Asia,32637224.0307904,1992,41.674,16317921,649.3413952000001
Afghanistan,Asia,44456184.208702,1997,41.763000000000005,22227415,635.341351
Afghanistan,Asia,50538347.7261096,2002,42.129,25268405,726.7340548
Afghanistan,Asia,63781882.8166768,2007,43.828,31889923,974.5803384
